Date : 2024-03-23 16:20:59
Directory : /home/ljj/Nav_USV_ws
Total : 286 files,  12677 codes, 1344 comments, 2795 blanks, all 16816 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |         25 |      3,302 |        230 |        513 |      4,045 |
| CMake        |        150 |      2,837 |          0 |        750 |      3,587 |
| Makefile     |          5 |      1,647 |        684 |        657 |      2,988 |
| C            |          2 |      1,117 |        112 |        247 |      1,476 |
| Log          |          2 |        911 |          0 |         89 |      1,000 |
| Python       |         11 |        832 |        179 |        158 |      1,169 |
| JSON         |          3 |        774 |          0 |          3 |        777 |
| CMake Cache  |          1 |        628 |          0 |        178 |        806 |
| Shell Script |         23 |        298 |        124 |         91 |        513 |
| TypeScript   |         57 |        114 |          0 |         57 |        171 |
| JavaScript   |          3 |        106 |         15 |         25 |        146 |
| Ini          |          1 |         83 |          0 |         23 |        106 |
| XML          |          1 |         25 |          0 |          3 |         28 |
| ROS Message  |          1 |          2 |          0 |          0 |          2 |
| Markdown     |          1 |          1 |          0 |          1 |          2 |
+--------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        286 |     12,677 |      1,344 |      2,795 |     16,816 |
| . (Files)                                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| build                                                                                                                          |        250 |     10,924 |      1,126 |      2,405 |     14,455 |
| build (Files)                                                                                                                  |          6 |      1,356 |        279 |        441 |      2,076 |
| build/CMakeFiles                                                                                                               |         29 |      3,850 |        228 |        721 |      4,799 |
| build/CMakeFiles (Files)                                                                                                       |          4 |      1,272 |          0 |        100 |      1,372 |
| build/CMakeFiles/3.16.3                                                                                                        |          5 |      1,143 |        102 |        270 |      1,515 |
| build/CMakeFiles/3.16.3 (Files)                                                                                                |          3 |        140 |          0 |         42 |        182 |
| build/CMakeFiles/3.16.3/CompilerIdC                                                                                            |          1 |        507 |         50 |        115 |        672 |
| build/CMakeFiles/3.16.3/CompilerIdCXX                                                                                          |          1 |        496 |         52 |        113 |        661 |
| build/CMakeFiles/3.22.1                                                                                                        |          5 |      1,337 |        126 |        306 |      1,769 |
| build/CMakeFiles/3.22.1 (Files)                                                                                                |          3 |        129 |          0 |         44 |        173 |
| build/CMakeFiles/3.22.1/CompilerIdC                                                                                            |          1 |        610 |         62 |        132 |        804 |
| build/CMakeFiles/3.22.1/CompilerIdCXX                                                                                          |          1 |        598 |         64 |        130 |        792 |
| build/CMakeFiles/clean_test_results.dir                                                                                        |          3 |         22 |          0 |          9 |         31 |
| build/CMakeFiles/download_extra_data.dir                                                                                       |          3 |         19 |          0 |          9 |         28 |
| build/CMakeFiles/doxygen.dir                                                                                                   |          3 |         19 |          0 |          9 |         28 |
| build/CMakeFiles/run_tests.dir                                                                                                 |          3 |         19 |          0 |          9 |         28 |
| build/CMakeFiles/tests.dir                                                                                                     |          3 |         19 |          0 |          9 |         28 |
| build/atomic_configure                                                                                                         |          8 |        302 |         91 |         72 |        465 |
| build/catkin                                                                                                                   |          1 |         24 |          0 |          0 |         24 |
| build/catkin/catkin_generated                                                                                                  |          1 |         24 |          0 |          0 |         24 |
| build/catkin/catkin_generated/version                                                                                          |          1 |         24 |          0 |          0 |         24 |
| build/catkin_generated                                                                                                         |         13 |        354 |        106 |         90 |        550 |
| build/catkin_generated (Files)                                                                                                 |          5 |         52 |         15 |         18 |         85 |
| build/catkin_generated/installspace                                                                                            |          8 |        302 |         91 |         72 |        465 |
| build/gtest                                                                                                                    |         24 |        697 |        177 |        262 |      1,136 |
| build/gtest (Files)                                                                                                            |          3 |        150 |         51 |         59 |        260 |
| build/gtest/CMakeFiles                                                                                                         |          1 |         12 |          0 |          5 |         17 |
| build/gtest/googlemock                                                                                                         |         10 |        271 |         63 |        100 |        434 |
| build/gtest/googlemock (Files)                                                                                                 |          3 |        204 |         63 |         77 |        344 |
| build/gtest/googlemock/CMakeFiles                                                                                              |          7 |         67 |          0 |         23 |         90 |
| build/gtest/googlemock/CMakeFiles (Files)                                                                                      |          1 |         12 |          0 |          5 |         17 |
| build/gtest/googlemock/CMakeFiles/gmock.dir                                                                                    |          3 |         27 |          0 |          9 |         36 |
| build/gtest/googlemock/CMakeFiles/gmock_main.dir                                                                               |          3 |         28 |          0 |          9 |         37 |
| build/gtest/googletest                                                                                                         |         10 |        264 |         63 |         98 |        425 |
| build/gtest/googletest (Files)                                                                                                 |          3 |        199 |         63 |         75 |        337 |
| build/gtest/googletest/CMakeFiles                                                                                              |          7 |         65 |          0 |         23 |         88 |
| build/gtest/googletest/CMakeFiles (Files)                                                                                      |          1 |         12 |          0 |          5 |         17 |
| build/gtest/googletest/CMakeFiles/gtest.dir                                                                                    |          3 |         26 |          0 |          9 |         35 |
| build/gtest/googletest/CMakeFiles/gtest_main.dir                                                                               |          3 |         27 |          0 |          9 |         36 |
| build/nav_core                                                                                                                 |        169 |      4,341 |        245 |        819 |      5,405 |
| build/nav_core (Files)                                                                                                         |          3 |        814 |        228 |        279 |      1,321 |
| build/nav_core/CMakeFiles                                                                                                      |        148 |      1,791 |          0 |        440 |      2,231 |
| build/nav_core/CMakeFiles (Files)                                                                                              |          1 |         12 |          0 |          5 |         17 |
| build/nav_core/CMakeFiles/_nav_core_generate_messages_check_deps_sbus_channels_msg.dir                                         |          3 |         22 |          0 |          9 |         31 |
| build/nav_core/CMakeFiles/actionlib_msgs_generate_messages_cpp.dir                                                             |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/actionlib_msgs_generate_messages_eus.dir                                                             |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/actionlib_msgs_generate_messages_lisp.dir                                                            |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/actionlib_msgs_generate_messages_nodejs.dir                                                          |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/actionlib_msgs_generate_messages_py.dir                                                              |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/geometry_msgs_generate_messages_cpp.dir                                                              |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/geometry_msgs_generate_messages_eus.dir                                                              |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/geometry_msgs_generate_messages_lisp.dir                                                             |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/geometry_msgs_generate_messages_nodejs.dir                                                           |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/geometry_msgs_generate_messages_py.dir                                                               |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/imu_gps_node.dir                                                                                     |          3 |         39 |          0 |          9 |         48 |
| build/nav_core/CMakeFiles/imu_gps_node_autogen.dir                                                                             |          4 |        281 |          0 |         10 |        291 |
| build/nav_core/CMakeFiles/nav_core_gencpp.dir                                                                                  |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/nav_core_generate_messages.dir                                                                       |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/nav_core_generate_messages_cpp.dir                                                                   |          3 |         23 |          0 |          9 |         32 |
| build/nav_core/CMakeFiles/nav_core_generate_messages_eus.dir                                                                   |          3 |         24 |          0 |          9 |         33 |
| build/nav_core/CMakeFiles/nav_core_generate_messages_lisp.dir                                                                  |          3 |         23 |          0 |          9 |         32 |
| build/nav_core/CMakeFiles/nav_core_generate_messages_nodejs.dir                                                                |          3 |         23 |          0 |          9 |         32 |
| build/nav_core/CMakeFiles/nav_core_generate_messages_py.dir                                                                    |          3 |         24 |          0 |          9 |         33 |
| build/nav_core/CMakeFiles/nav_core_geneus.dir                                                                                  |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/nav_core_genlisp.dir                                                                                 |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/nav_core_gennodejs.dir                                                                               |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/nav_core_genpy.dir                                                                                   |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/nav_usv_core_control_node.dir                                                                        |          3 |         35 |          0 |          9 |         44 |
| build/nav_core/CMakeFiles/nav_usv_core_control_node_autogen.dir                                                                |          4 |        281 |          0 |         10 |        291 |
| build/nav_core/CMakeFiles/roscpp_generate_messages_cpp.dir                                                                     |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/roscpp_generate_messages_eus.dir                                                                     |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/roscpp_generate_messages_lisp.dir                                                                    |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/roscpp_generate_messages_nodejs.dir                                                                  |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/roscpp_generate_messages_py.dir                                                                      |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/rosgraph_msgs_generate_messages_cpp.dir                                                              |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/rosgraph_msgs_generate_messages_eus.dir                                                              |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/rosgraph_msgs_generate_messages_lisp.dir                                                             |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/rosgraph_msgs_generate_messages_nodejs.dir                                                           |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/rosgraph_msgs_generate_messages_py.dir                                                               |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/sbus_simulate_node.dir                                                                               |          3 |         39 |          0 |          9 |         48 |
| build/nav_core/CMakeFiles/sbus_simulate_node_autogen.dir                                                                       |          4 |        281 |          0 |         10 |        291 |
| build/nav_core/CMakeFiles/std_msgs_generate_messages_cpp.dir                                                                   |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/std_msgs_generate_messages_eus.dir                                                                   |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/std_msgs_generate_messages_lisp.dir                                                                  |          3 |         19 |          0 |          9 |         28 |
| build/nav_core/CMakeFiles/std_msgs_generate_messages_nodejs.dir                                                                |          3 |         19 |          0 |          9 |         28 |
